,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'yogurt'}),frozenset({'whole milk'}),0.08587850030074183,0.15792287642852368,0.011160863463209249,0.1299610894941634,0.8229402378760758,-0.002401316327651736,0.9678614524054983
1,frozenset({'whole milk'}),frozenset({'yogurt'}),0.15792287642852368,0.08587850030074183,0.011160863463209249,0.07067287346593314,0.8229402378760758,-0.002401316327651736,0.9836380254049849
2,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.15792287642852368,0.11000467820624206,0.013967787208447505,0.0884468895471858,0.8040284376030019,-0.0034044679944763706,0.9763504853289926
3,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11000467820624206,0.15792287642852368,0.013967787208447505,0.12697448359659783,0.8040284376030019,-0.0034044679944763706,0.9645504143344816
4,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.12210118291786407,0.11000467820624206,0.010559379803515338,0.08648056923918994,0.7861535586427698,-0.0028723215319657984,0.9742489232577566
5,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.11000467820624206,0.12210118291786407,0.010559379803515338,0.0959902794653706,0.7861535586427697,-0.0028723215319657984,0.9711165678206961
6,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.12210118291786407,0.15792287642852368,0.014836596939116486,0.12151067323481116,0.7694304712706219,-0.004445973082597927,0.9585513425327646
7,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.15792287642852368,0.12210118291786407,0.014836596939116486,0.09394837071519255,0.7694304712706218,-0.004445973082597927,0.9689280265133523
8,frozenset({'whole milk'}),frozenset({'soda'}),0.15792287642852368,0.09710619528169484,0.011628684087415625,0.07363520947947524,0.7582956912879478,-0.003706605590499557,0.9746633442436524
9,frozenset({'soda'}),frozenset({'whole milk'}),0.09710619528169484,0.15792287642852368,0.011628684087415625,0.11975223675154853,0.7582956912879478,-0.003706605590499557,0.9566364820557898
